store_code,type,year,january,february,march,april,may,june,july,august,september,october,november,december,created_at,updated_at
171,1,2024,10,8,9,9,9,9,9,8,9,9,9,9,2024-05-30,2024-05-30
171,2,2024,1,1,1,1,1,1,1,1,1,1,1,1,2024-05-30,2024-05-30
171,3,2024,1,1,1,1,1,1,1,1,1,1,1,1,2024-05-30,2024-05-30
171,4,2024,1,1,1,1,1,1,1,2,1,1,1,1,2024-05-30,2024-05-30
171,5,2024,2,2,2,2,2,1,2,2,2,2,2,2,2024-05-30,2024-05-30
171,6,2024,3,3,3,3,2,2,3,3,3,3,3,3,2024-05-30,2024-05-30
265,1,2024,10,8,9,9,9,9,9,8,9,9,9,9,2024-05-30,2024-05-30
265,2,2024,1,1,1,1,1,1,1,1,1,1,1,1,2024-05-30,2024-05-30
265,3,2024,1,1,1,1,1,1,1,1,1,1,1,1,2024-05-30,2024-05-30
265,4,2024,1,1,1,1,1,1,1,2,1,1,1,1,2024-05-30,2024-05-30
265,5,2024,2,2,2,2,2,1,2,2,2,2,2,2,2024-05-30,2024-05-30
265,6,2024,3,3,3,3,2,2,3,3,3,3,3,3,2024-05-30,2024-05-30
283,1,2024,10,8,9,9,9,9,9,8,9,9,9,8,2024-05-30,2024-05-30
283,2,2024,1,1,1,1,1,1,1,1,1,1,1,1,2024-05-30,2024-05-30
283,3,2024,1,1,1,1,1,1,1,1,1,1,1,1,2024-05-30,2024-05-30
283,4,2024,1,1,1,1,1,1,1,2,1,1,1,1,2024-05-30,2024-05-30
283,5,2024,2,2,2,2,2,1,2,2,2,2,2,2,2024-05-30,2024-05-30
283,6,2024,3,3,3,3,2,2,3,3,3,3,3,3,2024-05-30,2024-05-30
291,1,2024,10,8,9,9,9,9,9,8,9,9,9,9,2024-05-30,2024-05-30
291,2,2024,1,1,1,1,1,1,1,1,1,1,1,1,2024-05-30,2024-05-30
291,3,2024,1,1,1,1,1,1,1,1,1,1,1,1,2024-05-30,2024-05-30
291,4,2024,1,1,1,1,1,1,1,2,1,1,1,1,2024-05-30,2024-05-30
291,5,2024,2,2,2,2,2,1,2,2,2,2,2,2,2024-05-30,2024-05-30
291,6,2024,3,3,3,3,2,2,3,3,3,3,3,3,2024-05-30,2024-05-30
